id1,id2,7/24/2015,8/1/2015,8/22/2015,8/30/2015
CS_NET115,IH_NET116,,,,
CS_NET115,JP_NET115,,,,1
CS_NET115,KK_NET215,,,,
CS_NET115,KO_NET215,,,,
CS_NET115,LN_NET215,,,,
CS_NET115,PB_NET217,,,,
CS_NET115,SY_NET217,,,,
CS_NET115,UA_NET119,,,,
CS_NET115,VZ_NET119,,,,
CS_NET115,WP_SAND17,,,,
CS_NET115,XO_SAND17,,,,
CS_NET115,YN_SAND17,,,,
CS_NET115,ZM_SAND17,,,,
DE_FSAN18,ED_FSAN18,,,,
DE_FSAN18,UA_NET119,,,,
DE_FSAN18,VZ_NET119,,,,
ED_FSAN18,UA_NET119,,,,
ED_FSAN18,VZ_NET119,,,,
FK_NET116,AK_NET217,,,,
FK_NET116,DE_FSAN18,,,,
FK_NET116,ED_FSAN18,,,,
FK_NET116,GJ_NET116,,,,
FK_NET116,HI_NET116,,,,
FK_NET116,IH_NET116,,,,
FK_NET116,PB_NET217,,,,
FK_NET116,SY_NET217,,,,
FK_NET116,UA_NET119,,,,
FK_NET116,VZ_NET119,,,,
FK_NET116,WP_SAND17,,,,
FK_NET116,XO_SAND17,,,,
FK_NET116,YN_SAND17,,,,
FK_NET116,ZM_SAND17,,,,
FP_NET215,AK_NET217,,,,
FP_NET215,DE_FSAN18,,,,
FP_NET215,ED_FSAN18,,,,
FP_NET215,FK_NET116,,,,
FP_NET215,GJ_NET116,,,,
FP_NET215,HI_NET116,,,,
FP_NET215,IH_NET116,,,,
FP_NET215,KK_NET215,,,,
FP_NET215,KO_NET215,,,,
FP_NET215,LN_NET215,,,,
FP_NET215,PB_NET217,,,,
FP_NET215,SY_NET217,,,,
FP_NET215,UA_NET119,,,,
FP_NET215,VZ_NET119,,,,
FP_NET215,WP_SAND17,,,,
FP_NET215,XO_SAND17,,,,
FP_NET215,YN_SAND17,,,,
FP_NET215,ZM_SAND17,,,,
GJ_NET116,AK_NET217,,,,
GJ_NET116,DE_FSAN18,,,,
GJ_NET116,ED_FSAN18,,,,
GJ_NET116,HI_NET116,,,,
